,date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
0,2014-08-11 07:46:59,2,3,66,348,48862,2234.2641,12,0,1,9,2014-08-27,2014-08-31,2,0,1,8250,1,0,3,2,50,628,1
1,2014-08-11 08:22:12,2,3,66,348,48862,2234.2641,12,0,1,9,2014-08-29,2014-09-02,2,0,1,8250,1,1,1,2,50,628,1
2,2014-08-11 08:24:33,2,3,66,348,48862,2234.2641,12,0,0,9,2014-08-29,2014-09-02,2,0,1,8250,1,0,1,2,50,628,1
3,2014-08-09 18:05:16,2,3,66,442,35390,913.1932,93,0,0,3,2014-11-23,2014-11-28,2,0,1,14984,1,0,1,2,50,1457,80
4,2014-08-09 18:08:18,2,3,66,442,35390,913.6259,93,0,0,3,2014-11-23,2014-11-28,2,0,1,14984,1,0,1,2,50,1457,21
5,2014-08-09 18:13:12,2,3,66,442,35390,911.5142,93,0,0,3,2014-11-23,2014-11-28,2,0,1,14984,1,0,1,2,50,1457,92
6,2014-07-16 09:42:23,2,3,66,189,10067,,501,0,0,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,2,2,50,675,41
7,2014-07-16 09:45:48,2,3,66,189,10067,,501,0,1,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,1,2,50,675,41
8,2014-07-16 09:52:11,2,3,66,189,10067,,501,0,0,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,1,2,50,675,69
9,2014-07-16 09:55:24,2,3,66,189,10067,,501,0,0,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,1,2,50,675,70
10,2014-07-16 10:00:06,2,3,66,189,10067,,501,0,0,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,1,2,50,675,98
11,2014-07-16 10:02:58,2,3,66,189,10067,,501,0,0,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,1,2,50,675,10
12,2014-01-17 06:24:56,2,3,66,318,22418,420.6642,756,0,1,9,2014-04-17,2014-04-20,2,0,1,8291,1,0,5,2,50,191,18
13,2014-01-18 14:33:31,2,3,66,318,52078,,756,0,1,9,2014-04-16,2014-04-19,2,0,1,8291,1,0,1,2,50,191,28
14,2014-01-21 06:39:08,2,3,66,318,22418,421.8551,756,0,1,2,2014-04-17,2014-04-20,2,0,1,8291,1,0,1,2,50,191,25
15,2014-01-21 06:40:18,2,3,66,318,22418,421.8551,756,0,1,2,2014-04-18,2014-04-20,2,0,1,8291,1,0,1,2,50,191,25
16,2014-01-22 06:10:02,2,3,66,318,22418,421.8551,756,0,1,2,2014-04-18,2014-04-20,2,0,1,8291,1,0,1,2,50,191,25
17,2014-01-24 11:52:04,2,3,66,318,22418,421.8551,756,0,1,9,2014-04-17,2014-04-19,2,0,1,8291,1,0,1,2,50,191,25
18,2014-01-24 17:26:24,2,3,66,318,52078,,756,0,1,9,2014-04-17,2014-04-19,2,0,1,8291,1,0,1,2,50,191,25
19,2014-02-27 17:44:23,2,3,66,318,52078,,756,0,1,4,2014-04-17,2014-04-19,2,0,1,8291,1,0,1,2,50,191,2
20,2014-02-27 18:01:32,2,3,66,318,52078,,756,0,1,4,2014-04-18,2014-04-20,2,0,1,8291,1,1,1,2,50,191,2
21,2014-12-30 09:50:51,2,3,66,318,21655,,756,0,1,2,2015-02-06,2015-02-08,1,0,1,12193,6,0,2,2,50,406,16
22,2014-12-30 09:55:43,2,3,66,318,21655,,756,0,1,2,2015-02-06,2015-02-08,1,0,1,12193,6,0,2,2,50,406,16
23,2014-12-30 09:56:26,2,3,66,318,21655,,756,0,1,2,2015-02-06,2015-02-08,1,0,1,12193,6,0,1,2,50,406,94
24,2014-10-22 12:20:56,2,3,66,318,52997,47.7027,776,0,0,9,2014-10-25,2014-10-26,2,0,1,27082,6,0,2,2,50,641,77
25,2014-11-10 12:38:02,2,3,66,318,48382,1753.2617,776,0,1,9,2015-01-22,2015-01-24,1,0,1,8250,1,0,1,2,50,628,24
26,2013-06-15 15:10:49,30,4,195,548,56440,,1048,0,1,9,2013-09-07,2013-09-15,2,0,1,1385,1,0,1,0,185,185,58
27,2013-06-15 15:38:05,30,4,195,548,56440,,1048,0,1,9,2013-09-06,2013-09-14,2,0,1,1385,1,1,1,0,185,185,58
28,2014-11-22 14:32:46,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
29,2014-11-22 14:37:05,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,82
30,2014-11-22 16:55:21,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,46
31,2014-11-22 16:59:09,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,2,3,151,69,30
32,2014-11-22 17:02:39,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
33,2014-11-22 17:04:34,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,29
34,2014-11-22 17:05:34,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,57
35,2014-11-22 17:07:20,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,29
36,2014-11-22 19:56:54,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,46
37,2014-11-22 20:38:49,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,30
38,2014-11-22 20:43:22,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,85
39,2014-11-22 20:45:05,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,46
40,2014-11-22 20:47:19,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
41,2014-11-22 20:50:34,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
42,2014-11-22 20:53:27,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,1236,82
43,2014-11-22 20:55:38,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,1197,5
